defteam,posteam,week,rushing_yards_allowed,passing_yards_allowed,touchdowns_allowed,turnovers_created,turnovers_recovered
MIA,BAL,13,94.0,308.0,2.0,2.0,2.0
MIA,BUF,3,153.0,277.0,4.0,,
MIA,BUF,9,270.0,181.0,4.0,,
MIA,DAL,11,167.0,227.0,2.0,2.0,2.0
MIA,HOU,7,71.0,273.0,5.0,4.0,1.0
MIA,IND,16,101.0,177.0,2.0,,
MIA,JAX,2,124.0,273.0,2.0,,
MIA,LAC,15,141.0,311.0,4.0,2.0,2.0
MIA,NE,8,95.0,356.0,4.0,1.0,
MIA,NE,17,71.0,140.0,1.0,1.0,
MIA,NYG,14,94.0,337.0,4.0,1.0,1.0
MIA,NYJ,4,211.0,218.0,3.0,1.0,1.0
MIA,NYJ,12,138.0,277.0,5.0,1.0,
MIA,PHI,10,83.0,392.0,2.0,4.0,1.0
MIA,TEN,6,63.0,282.0,2.0,4.0,4.0
MIA,WAS,1,162.0,196.0,1.0,3.0,2.0
MIN,ARI,14,99.0,310.0,2.0,,
MIN,ATL,12,117.0,230.0,1.0,4.0,3.0
MIN,CHI,8,97.0,211.0,2.0,1.0,
MIN,CHI,15,94.0,231.0,2.0,2.0,2.0
MIN,DEN,4,146.0,213.0,2.0,2.0,2.0
MIN,DET,2,38.0,286.0,2.0,3.0,3.0
MIN,DET,7,77.0,256.0,2.0,,
MIN,GB,11,126.0,212.0,2.0,,
MIN,GB,17,77.0,291.0,2.0,3.0,2.0
MIN,KC,6,57.0,282.0,1.0,1.0,1.0
MIN,LA,9,160.0,168.0,1.0,1.0,
MIN,LAC,3,90.0,309.0,3.0,2.0,2.0
MIN,LV,10,84.0,302.0,2.0,3.0,2.0
MIN,NYG,16,91.0,302.0,3.0,5.0,3.0
MIN,SEA,13,175.0,274.0,5.0,1.0,1.0
MIN,SEA,18,94.0,142.0,1.0,3.0,1.0
MIN,SF,1,232.0,165.0,2.0,,
NE,BUF,2,160.0,242.0,5.0,6.0,3.0
NE,BUF,11,95.0,233.0,1.0,2.0,
NE,DAL,5,103.0,187.0,,2.0,2.0
NE,DEN,12,179.0,270.0,4.0,3.0,2.0
NE,DEN,20,100.0,176.0,2.0,1.0,1.0
NE,HOU,14,88.0,159.0,,3.0,2.0
NE,IND,6,121.0,312.0,3.0,,
NE,JAX,3,57.0,242.0,2.0,2.0,1.0
NE,KC,19,135.0,246.0,2.0,1.0,1.0
NE,MIA,8,15.0,300.0,1.0,3.0,2.0
NE,MIA,17,98.0,350.0,2.0,1.0,
NE,NYG,10,80.0,361.0,2.0,2.0,1.0
NE,NYJ,7,89.0,295.0,2.0,1.0,1.0
NE,NYJ,16,143.0,296.0,4.0,3.0,1.0
NE,PHI,13,129.0,120.0,2.0,2.0,1.0
NE,PIT,1,134.0,351.0,2.0,1.0,1.0
NE,TEN,15,59.0,274.0,3.0,5.0,4.0
NE,WAS,9,37.0,217.0,1.0,3.0,2.0
NO,ARI,1,121.0,307.0,4.0,1.0,1.0
NO,ATL,6,150.0,295.0,3.0,5.0,3.0
NO,ATL,17,87.0,334.0,2.0,3.0,2.0
NO,CAR,3,119.0,315.0,3.0,,
NO,CAR,13,177.0,331.0,7.0,3.0,3.0
NO,DAL,4,116.0,246.0,2.0,,
NO,DET,15,155.0,254.0,5.0,2.0,1.0
NO,HOU,12,170.0,205.0,3.0,3.0,1.0
NO,IND,7,75.0,333.0,3.0,3.0,3.0
NO,JAX,16,65.0,368.0,4.0,4.0,2.0
NO,NYG,8,87.0,350.0,6.0,3.0,1.0
NO,PHI,5,186.0,333.0,4.0,2.0,2.0
NO,TB,2,139.0,207.0,2.0,3.0,2.0
NO,TB,14,115.0,182.0,2.0,,
NO,TEN,9,112.0,371.0,4.0,3.0,2.0
NO,WAS,10,209.0,324.0,4.0,2.0,
NYG,ATL,2,57.0,363.0,3.0,,
NYG,BUF,4,55.0,274.0,1.0,2.0,2.0
NYG,CAR,15,171.0,340.0,5.0,1.0,1.0
NYG,DAL,1,81.0,356.0,4.0,5.0,3.0
NYG,DAL,7,233.0,227.0,3.0,3.0,3.0
NYG,MIA,14,130.0,236.0,3.0,2.0,1.0
NYG,MIN,16,222.0,168.0,4.0,1.0,
NYG,NE,10,78.0,334.0,3.0,3.0,2.0
NYG,NO,8,103.0,505.0,8.0,2.0,2.0
NYG,NYJ,13,90.0,390.0,2.0,1.0,1.0
NYG,PHI,6,161.0,280.0,2.0,6.0,4.0
NYG,PHI,17,122.0,320.0,4.0,2.0,2.0
NYG,SF,5,125.0,262.0,3.0,3.0,
NYG,TB,9,136.0,247.0,2.0,3.0,3.0
NYG,WAS,3,88.0,316.0,1.0,5.0,3.0
NYG,WAS,12,105.0,302.0,2.0,2.0,
NYJ,BUF,10,149.0,158.0,1.0,1.0,
NYJ,BUF,17,114.0,182.0,2.0,2.0,1.0
NYJ,CLE,1,104.0,231.0,1.0,4.0,4.0
NYJ,DAL,15,133.0,195.0,1.0,4.0,4.0
NYJ,HOU,11,128.0,250.0,3.0,1.0,1.0
NYJ,IND,2,93.0,250.0,1.0,5.0,5.0
NYJ,JAX,9,98.0,381.0,2.0,4.0,3.0
NYJ,LV,8,120.0,333.0,4.0,,
NYJ,MIA,4,59.0,198.0,2.0,3.0,2.0
NYJ,MIA,12,12.0,351.0,3.0,5.0,2.0
NYJ,NE,7,16.0,355.0,3.0,1.0,
NYJ,NE,16,64.0,231.0,1.0,1.0,1.0
NYJ,NYG,13,74.0,297.0,1.0,2.0,1.0
NYJ,PHI,3,125.0,118.0,2.0,1.0,1.0
NYJ,TEN,14,24.0,315.0,1.0,2.0,1.0
NYJ,WAS,6,34.0,196.0,1.0,2.0,2.0
LV,BAL,2,109.0,384.0,3.0,2.0,2.0
LV,CHI,4,98.0,281.0,2.0,4.0,3.0
LV,CIN,1,129.0,269.0,4.0,,
LV,CLE,3,39.0,341.0,2.0,2.0,1.0
LV,DEN,5,43.0,266.0,,3.0,3.0
LV,DEN,14,34.0,308.0,,4.0,1.0
LV,DET,11,111.0,282.0,1.0,,
LV,GB,15,104.0,204.0,2.0,2.0,2.0
LV,KC,13,91.0,162.0,4.0,2.0,2.0
LV,KC,17,190.0,159.0,4.0,2.0,2.0
LV,LAC,7,90.0,336.0,3.0,3.0,2.0
LV,LAC,16,72.0,277.0,2.0,1.0,1.0
LV,MIN,10,263.0,140.0,2.0,1.0,
LV,NYJ,8,74.0,311.0,2.0,1.0,1.0
LV,PIT,9,195.0,413.0,4.0,1.0,1.0
LV,TEN,12,44.0,218.0,3.0,2.0,2.0
PHI,ARI,15,232.0,274.0,4.0,,
PHI,ATL,1,108.0,298.0,2.0,2.0,2.0
PHI,BUF,14,153.0,268.0,2.0,2.0,1.0
PHI,CAR,7,205.0,197.0,3.0,3.0,3.0
PHI,DAL,2,111.0,268.0,1.0,2.0,2.0
PHI,DAL,9,134.0,299.0,4.0,3.0,1.0
PHI,DET,12,108.0,337.0,6.0,,
PHI,MIA,10,101.0,217.0,2.0,1.0,
PHI,NE,13,104.0,348.0,5.0,2.0,2.0
PHI,NO,5,97.0,335.0,2.0,4.0,4.0
PHI,NYG,6,81.0,189.0,2.0,4.0,3.0
PHI,NYG,17,208.0,302.0,4.0,2.0,1.0
PHI,NYJ,3,47.0,283.0,2.0,5.0,4.0
PHI,TB,11,286.0,246.0,5.0,2.0,
PHI,WAS,4,127.0,290.0,2.0,2.0,1.0
PHI,WAS,16,71.0,365.0,4.0,2.0,
PIT,ARI,6,56.0,421.0,1.0,4.0,3.0
PIT,BAL,4,191.0,186.0,2.0,5.0,2.0
PIT,BAL,16,121.0,274.0,2.0,,
PIT,CIN,8,80.0,231.0,1.0,4.0,2.0
PIT,CIN,14,65.0,339.0,3.0,3.0,3.0
PIT,CIN,18,92.0,212.0,2.0,6.0,4.0
PIT,CLE,10,15.0,372.0,1.0,4.0,3.0
PIT,CLE,17,86.0,240.0,,5.0,4.0
PIT,DEN,15,105.0,296.0,4.0,4.0,2.0
PIT,DEN,19,110.0,222.0,1.0,2.0,
PIT,IND,13,55.0,220.0,1.0,4.0,3.0
PIT,KC,7,140.0,251.0,2.0,,
