...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
173,174,Dez Bryant,,,WR64,173,,,189,,115,161.5,00-0027902,WR,2017,0.7751937984496124,28,2010,0.839375,25.776,0.006999999999999999,24,14.4,132,69,838,52.375,8,6,1,-4,-0.25,0,1,6,16
174,175,Rishard Matthews,,,WR65,175,,,186,,125,163.3,00-0029580,WR,2017,0.8383838383838383,27,2012,0.8228571428571427,44.196484,0.044000000000000004,227,0,87,53,795,56.785714285714285,13,4,1,-3,-0.21428571428571427,0,0,4,14
178,179,DeSean Jackson,,,WR66,184,,,192,,136,168.3,00-0026189,WR,2017,0.9178082191780822,30,2008,0.6464285714285715,23.933846,0.067,49,9.8,92,50,668,47.714285714285715,10,3,3,38,2.7142857142857144,0,0,3,14
179,180,Dede Westbrook,,,WR67,,,,148,,184,168.5,00-0033839,WR,2017,0.4375,23,2017,0.7800000000000001,35.086193,0.005,110,4.7,51,27,339,48.42857142857143,6,1,0,0,0,0,0,1,7
182,183,Paul Richardson Jr.,,,WR68,142,,,172,,154,171.3,00-0031257,WR,2017,0.5961538461538461,25,2014,0.773125,44.139294,0.045,45,10.4,81,44,703,43.9375,13,6,0,0,0,0,0,6,16
193,194,Geronimo Allison,,,WR69,,,,207,,217,190.8,00-0032626,WR,2017,0.9629629629629629,23,2016,0.34,27.73291,0.004,,0,39,23,253,23,1,0,0,0,0,0,1,0,11
197,198,Marqise Lee,,,WR70,,,,203,,107,156,00-0031431,WR,2017,1.0,25,2014,0.7521428571428572,49.175255,0.048,39,11.3,97,56,702,54,6,3,1,17,1.3076923076923077,0,0,3,13
205,206,Tyrell Williams,,,WR71,,,,198,,179,183,00-0032160,WR,2017,1.0,25,2015,0.8025,49.050503,0.016,,0,69,43,728,45.5,12,4,0,0,0,0,1,4,16
209,210,Ted Ginn Jr.,,,WR72,,,,247,,163,187.7,00-0025396,WR,2017,1.0,32,2007,0.6353333333333334,37.991142,0.022000000000000002,9,20.6,70,53,787,52.46666666666667,15,4,10,39,2.6,0,0,4,15
211,212,Mike Wallace,,,WR73,186,,,240,,218,227.8,00-0026901,WR,2017,0.8933333333333333,31,2009,0.6959999999999998,36.086,0.011000000000000001,84,6.4,92,52,748,49.86666666666667,11,4,1,4,0.26666666666666666,0,0,4,15
