Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
90,90,90,91,Andrew Luck,,,QB9,81.0,,,95.0,,114.0,92.0,00-0029668,QB,2017,0.92,27,2012,-1.0,--,0.158,1.0,34.6,--,--,--,--,--,--,--,--,--,--,--,430,4593.0,39,46,148.0,0,1,4.0,0,16.0
91,91,91,92,Pierre Garcon ,,,WR39,86.0,,,87.0,,74.0,92.6,00-0026345,WR,2017,0.9470198675496688,31,2008,0.785,35.65429,0.057,205.0,0.7,8,0,0.0,0,0,0.0,0,40,500.0,0,0.0,0,0.0,0,0,0.0,0,24,286.0,1,0.0
92,92,92,93,Jordy Nelson,,,WR40,100.0,,,101.0,,87.0,93.2,00-0026176,WR,2017,1.0,32,2008,0.8320000000000001,54.326153,0.04,36.0,11.8,14,0,0.0,0,0,0.0,0,53,482.0,6,0.0,0,0.0,0,1,-2.0,0,63,739.0,3,0.0
93,93,93,94,Isaiah Crowell ,,,RB35,106.0,,,73.0,,94.0,94.8,00-0030656,RB,2017,1.0,24,2014,-1.0,28.251625,0.023,,0.0,16,0,0.0,0,206,853.0,2,28,182.0,0,1.0,0,0.0,0,143,685.0,6,21,152.0,0,0.0
94,94,94,95,Matthew Stafford,LAR,12,QB10,104.0,,,86.0,,103.0,97.0,00-0026498,QB,2017,0.7959183673469388,29,2009,0.99125,27.024422,0.162,1.0,34.6,16,371,4446.0,29,29,98.0,0,0,0.0,0,17.0,367,3777.0,21,25,71.0,0,0,0.0,0,15.0
95,95,95,96,Randall Cobb,,,WR41,101.0,,,103.0,,91.0,99.4,00-0028002,WR,2017,1.0,27,2011,0.7573333333333334,29.373625,0.07,64.0,8.1,14,1,10.0,0,9,17.0,0,66,653.0,4,0.0,0,0.0,0,0,0.0,0,38,383.0,2,1.0
96,96,96,97,Ben Roethlisberger,,,QB11,78.0,,,100.0,,108.0,100.6,00-0022924,QB,2017,1.0,35,2004,0.9886666666666668,55.870815,0.152,11.0,19.3,15,361,4259.0,28,28,47.0,0,0,0.0,0,15.0,452,5129.0,34,31,98.0,3,1,-1.0,0,18.0
97,97,97,98,Nelson Agholor,,,WR42,110.0,,,104.0,,96.0,102.0,00-0031549,WR,2017,1.0,24,2015,0.7106250000000001,53.093624,0.016,20.0,15.5,16,0,0.0,0,1,7.0,0,62,768.0,8,0.0,1,15.0,0,3,32.0,0,64,736.0,4,0.0
98,98,98,99,Marlon Mack,,,RB36,153.0,,,98.0,,83.0,104.8,00-0033951,RB,2017,1.0,21,2017,0.3414285714285714,24.778736,0.004,143.0,3.0,14,0,0.0,0,93,358.0,3,21,225.0,1,0.0,0,0.0,0,195,908.0,9,17,103.0,1,2.0
99,99,99,100,Jimmy Garoppolo,LAR,12,QB12,108.0,,,109.0,,102.0,105.2,00-0031345,QB,2017,1.0,25,2014,0.84,37.507957,0.155,62.0,8.3,6,120,1560.0,7,15,11.0,1,1,-6.0,0,5.0,53,718.0,5,8,33.0,0,0,0.0,0,3.0
100,100,100,101,Sterling Shepard,TB,5,WR43,93.0,,,114.0,,100.0,105.6,00-0032385,WR,2017,1.0,24,2016,0.9000000000000002,97.96054,0.01,40.0,11.1,11,0,0.0,0,4,4.0,0,59,731.0,2,0.0,0,0.0,0,3,33.0,0,66,872.0,4,0.0
101,101,101,102,Peyton Barber,,,RB37,97.0,,,106.0,,162.0,106.4,00-0032741,RB,2017,1.0,23,2016,0.2275,37.102905,0.004,,0.0,11,0,0.0,0,108,423.0,3,16,114.0,0,1.0,0,0.0,0,234,871.0,5,20,92.0,1,1.0
102,102,102,103,Matt Ryan,,,QB13,99.0,,,105.0,,116.0,107.0,00-0026143,QB,2017,1.0,32,2008,1.0,14.529985,0.16899999999999998,3.0,27.6,16,342,4095.0,20,32,143.0,0,0,0.0,0,15.0,422,4924.0,35,33,125.0,3,1,5.0,1,12.0
103,103,103,104,Jack Doyle ,,,TE11,103.0,,,113.0,,106.0,108.6,00-0030181,TE,2017,1.0,27,2013,0.9533333333333334,50.120953,0.038,,0.0,15,0,0.0,0,0,0.0,0,80,690.0,4,2.0,0,0.0,0,0,0.0,0,26,245.0,2,1.0
104,104,104,105,Chris Thompson,,,RB38,80.0,,,61.0,,233.0,109.0,00-0030404,RB,2017,0.7419354838709677,26,2013,0.5189999999999999,68.78711,0.021,154.0,2.5,10,0,0.0,0,64,294.0,2,39,510.0,4,0.0,0,0.0,0,43,178.0,0,41,268.0,1,0.0
105,105,105,106,Philip Rivers,,,QB14,118.0,,,111.0,,110.0,109.0,00-0022942,QB,2017,1.0,35,2004,0.96875,42.570774,0.145,4.0,25.8,16,360,4515.0,28,18,-2.0,0,0,0.0,0,11.0,347,4308.0,32,18,7.0,0,0,0.0,0,13.0
106,106,106,107,Ronald Jones,II,,RB39,171.0,,,102.0,,55.0,112.4,00-0034816,RB,2017,--,20,2018,-1.0,--,0.01,38.0,11.4,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,23,44.0,1,7,33.0,0,0.0
107,107,107,108,David Njoku,CLE,11,TE12,117.0,,,107.0,,129.0,112.6,00-0033885,TE,2017,1.0,21,2017,0.46875,25.729624,0.013999999999999999,29.0,13.2,16,0,0.0,0,1,1.0,0,32,386.0,4,0.0,0,0.0,0,0,0.0,0,56,639.0,4,0.0
108,108,108,109,Kelvin Benjamin,,,WR44,109.0,,,112.0,,105.0,113.8,00-0031359,WR,2017,1.0,26,2014,0.6435714285714286,28.400932,0.004,28.0,13.4,14,0,0.0,0,0,0.0,0,47,671.0,3,0.0,0,0.0,0,0,0.0,0,25,380.0,1,0.0
109,109,109,110,Kenny Stills,,,WR45,123.0,,,117.0,,118.0,115.8,00-0030085,WR,2017,1.0,25,2013,0.906875,70.00962,0.048,144.0,3.0,16,0,0.0,0,0,0.0,0,58,847.0,6,2.0,1,3.0,1,0,0.0,0,37,553.0,6,0.0
110,110,110,111,James White,,,RB40,121.0,,,108.0,,133.0,116.0,00-0031062,RB,2017,1.0,25,2014,0.39,28.129889,0.024,130.0,3.6,14,0,0.0,0,43,171.0,0,56,429.0,3,0.0,0,0.0,0,94,425.0,5,87,751.0,7,0.0
111,111,111,112,Aaron Jones r.,MIN,10 S,RB41,146.0,,,110.0,,104.0,116.8,00-0033293,RB,2017,1.0,22,2017,0.325,62.41333,0.004,182.0,1.5,10,0,0.0,0,81,448.0,4,9,22.0,0,0.0,0,0.0,0,133,728.0,8,26,206.0,1,1.0
112,112,112,113,Patrick Mahomes II,KC,12,QB15,122.0,,,120.0,,120.0,120.8,00-0033873,QB,2017,1.0,21,2017,0.94,,0.025,10.0,19.9,1,22,284.0,0,7,10.0,0,0,0.0,0,1.0,383,5097.0,50,60,272.0,2,0,0.0,0,14.0
113,113,113,114,Jared Goff,DET,6,QB16,120.0,,,130.0,,111.0,121.0,00-0033106,QB,2017,1.0,22,2016,0.964,44.670395,0.045,1.0,34.6,15,296,3804.0,28,28,51.0,1,0,0.0,0,10.0,364,4688.0,32,43,108.0,2,0,0.0,0,16.0
114,114,114,115,DeVante Parker,,,WR46,151.0,,,116.0,,89.0,125.2,00-0031547,WR,2017,1.0,24,2015,0.8092307692307692,35.40167,0.019,14.0,17.8,13,0,0.0,0,0,0.0,0,57,670.0,1,0.0,0,0.0,0,0,0.0,0,24,309.0,1,0.0
115,115,115,116,Allen Hurns,,,WR47,128.0,,,118.0,,113.0,125.2,00-0030821,WR,2017,1.0,25,2014,-1.0,25.471558,0.031,,0.0,10,0,0.0,0,0,0.0,0,39,484.0,2,0.0,0,0.0,0,0,0.0,0,20,295.0,2,0.0
116,116,116,117,Adrian Peterson,,,RB42,90.0,,,140.0,,214.0,125.4,00-0025394,RB,2017,0.7611940298507462,32,2007,0.452,65.56989,0.006,7.0,22.2,10,0,0.0,0,156,529.0,2,11,70.0,0,2.0,0,0.0,0,251,1042.0,7,20,208.0,1,2.0
117,117,117,118,Nick Chubb,HOU,10,RB43,156.0,,,124.0,,97.0,127.4,00-0034791,RB,2017,--,21,2018,-1.0,--,0.01,35.0,12.0,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,192,996.0,8,20,149.0,2,0.0
118,118,118,119,C.J. Anderson,,,RB44,168.0,,,99.0,,101.0,130.2,00-0029854,RB,2017,0.891566265060241,26,2013,-1.0,73.15996,0.01,,0.0,16,0,0.0,0,245,1007.0,3,28,224.0,1,1.0,0,0.0,0,67,403.0,2,5,41.0,1,0.0
119,119,119,120,Greg Zuerlein,,,K1,96.0,,,158.0,,119.0,134.2,00-0029621,K,2017,0.98,29,2012,0.4085714285714286,--,0.013000000000000001,171.0,1.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
120,120,120,121,Alex Smith ,,,QB17,116.0,,,153.0,,127.0,134.4,00-0023436,QB,2017,1.0,33,2005,1.0,67.81677,0.133,,0.0,15,341,4042.0,26,60,355.0,1,0,0.0,0,6.0,205,2180.0,10,41,168.0,1,0,0.0,0,6.0
121,121,121,122,Matt Breida ,,,RB45,127.0,,,132.0,,161.0,134.8,00-0033308,RB,2017,1.0,22,2017,0.279375,24.786291,0.003,,0.0,16,0,0.0,0,105,465.0,2,21,180.0,1,0.0,0,0.0,0,153,814.0,3,27,261.0,2,1.0
122,122,122,123,Calvin Ridley,TEN,8,WR48,158.0,,,135.0,,128.0,135.6,00-0034837,WR,2017,--,22,2018,-1.0,--,0.015,26.0,13.9,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,6,27.0,0,64,821.0,10,1.0
123,123,123,124,Stephen Gostkowski,,,K2,94.0,,,156.0,,132.0,136.2,00-0024333,K,2017,0.9370629370629371,33,2006,0.426875,--,0.03,118.0,4.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
124,124,124,125,Keelan Cole Sr.,,,WR49,133.0,,,136.0,,181.0,136.4,00-0033681,WR,2017,1.0,24,2017,0.6625,69.92799,0.003,,0.0,16,0,0.0,0,0,0.0,0,42,748.0,3,1.0,0,0.0,0,0,0.0,0,38,491.0,1,2.0
125,125,125,126,George Kittle,SF,11,TE13,163.0,,,129.0,,117.0,136.8,00-0033288,TE,2017,1.0,23,2017,0.5786666666666667,29.835712,0.004,146.0,2.9,15,0,0.0,0,0,0.0,0,43,515.0,2,0.0,0,0.0,0,1,10.0,0,88,1377.0,5,0.0
126,126,126,127,Ty Montgomery,II,,RB46,154.0,,,131.0,,109.0,137.2,00-0032200,WR,2017,0.574468085106383,24,2015,0.48,88.68857,0.005,94.0,5.7,8,0,0.0,0,71,273.0,3,23,173.0,1,0.0,0,0.0,0,41,183.0,1,25,235.0,0,0.0
127,127,127,128,Marcus Mariota,WAS,4,QB18,131.0,,,147.0,,124.0,137.4,00-0032268,QB,2017,0.9795918367346939,23,2015,0.9693333333333332,20.963417,0.042,2.0,30.2,15,281,3232.0,13,60,312.0,5,0,0.0,0,16.0,228,2528.0,11,64,357.0,2,1,21.0,0,10.0
128,128,128,129,Tyler Eifert ,,,TE14,136.0,,,133.0,,134.0,137.4,00-0030549,TE,2017,0.8059701492537313,26,2013,0.835,16.82,0.031,21.0,15.2,2,0,0.0,0,0,0.0,0,4,46.0,0,0.0,0,0.0,0,0,0.0,0,15,179.0,1,0.0
129,129,129,130,Jacksonville Jaguars,DST,9,DST1,65.0,,,96.0,,,86.0,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
130,130,130,131,Derek Carr,,,QB19,114.0,,,142.0,,143.0,138.4,00-0031280,QB,2017,1.0,26,2014,0.9753333333333332,44.018585,0.15,36.0,11.8,15,323,3496.0,22,23,66.0,0,0,0.0,0,15.0,381,4049.0,19,24,47.0,1,1,-9.0,0,17.0
131,131,131,132,DJ Moore,CHI,5,WR50,178.0,,,123.0,,122.0,139.0,00-0034827,WR,2017,--,20,2018,-1.0,--,0.016,24.0,14.4,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,13,172.0,0,55,788.0,2,2.0
132,132,132,133,Giovani Bernard,,,RB47,167.0,,,141.0,,126.0,141.4,00-0030456,RB,2017,0.927710843373494,25,2013,0.4875,64.61429,0.033,37.0,11.6,16,0,0.0,0,105,458.0,2,43,381.0,2,0.0,0,0.0,0,56,211.0,3,35,218.0,0,0.0
133,133,133,134,Dak Prescott,DAL,8,QB20,113.0,,,150.0,,141.0,141.8,00-0033077,QB,2017,1.0,24,2016,0.986875,91.65088,0.004,135.0,3.4,16,308,3324.0,22,57,357.0,6,0,0.0,0,16.0,356,3885.0,22,75,305.0,6,0,0.0,0,14.0
134,134,134,135,Justin Tucker,,,K3,124.0,,,161.0,,137.0,142.2,00-0029597,K,2017,1.0,27,2012,-1.0,--,0.027000000000000003,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
135,135,135,136,Bilal Powell ,,,RB48,165.0,,,149.0,,150.0,142.4,00-0028064,RB,2017,1.0,28,2011,0.4186666666666666,49.910286,0.024,126.0,3.8,15,0,0.0,0,178,772.0,5,23,170.0,0,1.0,0,0.0,0,80,343.0,0,11,110.0,1,1.0
136,136,136,137,Latavius Murray,,,RB49,159.0,,,146.0,,144.0,142.6,00-0030513,RB,2017,1.0,27,2013,0.375625,59.914623,0.023,181.0,1.5,16,0,0.0,0,216,842.0,8,15,103.0,0,0.0,0,0.0,0,140,578.0,6,22,141.0,0,0.0
137,137,137,138,Michael Gallup,WAS,4,WR51,157.0,,,121.0,,158.0,144.2,00-0034764,WR,2017,--,21,2018,-1.0,--,0.005,81.0,6.6,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,33,507.0,2,0.0
138,138,138,139,Kenny Golladay,,,WR52,150.0,,,152.0,,139.0,144.6,00-0033932,WR,2017,1.0,23,2017,0.6790909090909091,34.452,0.005,96.0,5.5,11,0,0.0,0,1,9.0,0,28,477.0,3,0.0,0,0.0,0,1,8.0,0,70,1063.0,5,0.0
139,139,139,140,Corey Clement,,,RB50,160.0,,,144.0,,131.0,144.8,00-0033725,RB,2017,1.0,22,2017,0.224375,41.56923,0.003,,0.0,14,0,0.0,0,74,321.0,4,10,123.0,2,0.0,0,0.0,0,68,259.0,2,22,192.0,0,0.0
140,140,140,141,Alfred Morris,,,RB51,68.0,,,173.0,,249.0,145.0,00-0029141,RB,2017,1.0,28,2012,0.225,30.326029,0.004,173.0,1.8,13,0,0.0,0,115,547.0,1,7,45.0,0,0.0,0,0.0,0,111,428.0,2,8,73.0,0,1.0
141,141,141,142,Josh Doctson,,,WR53,126.0,,,151.0,,147.0,148.2,00-0032760,WR,2017,0.6875,24,2016,0.748125,14.81981,0.016,22.0,14.9,15,0,0.0,0,1,-14.0,0,35,502.0,6,0.0,0,0.0,0,0,0.0,0,44,532.0,2,0.0
142,142,142,143,Tyler Lockett,TEN,8,WR54,140.0,,,168.0,,155.0,150.0,00-0032211,WR,2017,0.9795918367346939,24,2015,0.644375,35.43296,0.06,69.0,7.6,16,0,0.0,0,10,58.0,0,45,555.0,2,0.0,0,0.0,0,13,69.0,0,57,965.0,10,0.0
143,143,143,144,Los Angeles Rams,DST,12,DST2,84.0,,,115.0,,,104.8,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
144,144,144,145,Cameron Meredith ,,,WR55,177.0,,,125.0,,135.0,153.0,00-0031912,WR,2017,0.673469387755102,24,2015,-1.0,--,0.027000000000000003,,0.0,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,9,114.0,1,1.0
145,145,145,146,Theo Riddick,,,RB52,172.0,,,126.0,,123.0,154.4,00-0030107,RB,2017,0.9879518072289156,26,2013,0.45125,39.232666,0.025,199.0,0.9,16,0,0.0,0,84,286.0,3,53,444.0,2,1.0,0,0.0,0,40,171.0,0,61,384.0,0,0.0
146,146,146,147,Minnesota Vikings,DST,10,DST3,95.0,,,119.0,,,112.0,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
147,147,147,148,Philadelphia Eagles,DST,9,DST4,85.0,,,127.0,,,114.0,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
148,148,148,149,LeGarrette Blount,,,RB53,144.0,,,164.0,,138.0,162.0,00-0027325,RB,2017,0.8923076923076924,30,2010,-1.0,20.923332,0.011000000000000001,,0.0,16,0,0.0,0,173,766.0,2,8,50.0,1,1.0,0,0.0,0,154,418.0,5,10,67.0,0,1.0
149,149,149,150,Jordan Wilkins,,,RB54,170.0,,,145.0,,194.0,165.8,00-0034400,RB,2017,--,23,2018,-1.0,--,0.004,169.0,1.9,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,60,336.0,1,16,85.0,0,2.0
150,150,150,151,Anthony Miller,BAL,10,WR56,185.0,,,166.0,,170.0,166.0,00-0034353,WR,2017,--,22,2018,-1.0,--,0.008,51.0,9.6,--,--,--,--,--,--,--,--,--,--,--,1,8.0,0,6,26.0,0,33,423.0,7,0.0
151,151,151,152,Chris Godwin,TB,5,WR57,176.0,,,155.0,,191.0,166.6,00-0033921,WR,2017,1.0,21,2017,0.405,42.253815,0.005,84.0,6.4,15,0,0.0,0,0,0.0,0,34,525.0,1,0.0,0,0.0,0,0,0.0,0,59,842.0,7,1.0
152,152,152,153,James Conner,ARI,9,RB55,119.0,,,180.0,,227.0,169.2,00-0033553,RB,2017,0.875,22,2017,0.07,0.3872727,0.005,105.0,5.0,12,0,0.0,0,32,144.0,0,0,0.0,0,0.0,0,0.0,0,215,973.0,12,55,497.0,1,2.0
153,153,153,154,Mike Williams,,,WR58,162.0,,,122.0,,372.0,177.2,00-0033536,WR,2017,1.0,22,2017,0.347,8.021945,0.03,7.0,22.2,9,0,0.0,0,0,0.0,0,11,95.0,0,0.0,0,0.0,0,7,28.0,1,43,664.0,10,0.0
154,154,154,155,John Brown,,,WR59,188.0,,,154.0,,234.0,173.2,00-0031051,WR,2017,1.0,27,2014,0.718,20.794333,0.027999999999999997,91.0,5.9,10,0,0.0,0,1,10.0,0,21,299.0,3,0.0,0,0.0,0,3,4.0,0,42,715.0,5,0.0
155,155,155,156,Baltimore Ravens,DST,10,DST5,115.0,,,138.0,,,132.8,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
156,156,156,157,Los Angeles Chargers,DST,8,DST6,147.0,,,134.0,,,132.8,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
157,157,157,158,Mitchell Trubisky,BUF,11,QB21,155.0,,,218.0,,157.0,175.8,00-0033869,QB,2017,1.0,23,2017,1.0,28.833857,0.043,2.0,30.2,12,196,2193.0,7,41,248.0,2,0,0.0,0,10.0,289,3223.0,24,68,421.0,3,0,0.0,0,15.0
158,158,158,159,Wil Lutz,DEN,10,K4,181.0,,,169.0,,172.0,176.4,00-0032569,K,2017,1.0,23,2016,-1.0,,0.003,,0.0,1,0,0.0,0,1,4.0,0,0,0.0,0,0.0,--,--,--,--,--,--,--,--,--,--
159,159,159,160,Matt Bryant,,,K5,137.0,,,177.0,,190.0,178.2,00-0020578,K,2017,0.9037037037037037,42,2002,-1.0,--,0.02,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
160,160,160,161,Chris Boswell,PIT,7,K6,132.0,,,176.0,,207.0,178.6,00-0031136,K,2017,1.0,26,2014,-1.0,--,0.024,,0.0,--,--,--,--,--,--,--,--,--,--,--,1,2.0,1,0,0.0,0,0,0.0,0,0.0
161,161,161,162,Harrison Butker,KC,12,K7,193.0,,,167.0,,177.0,179.4,00-0033303,K,2017,1.0,22,2017,0.4007692307692307,--,0.004,233.0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
162,162,162,163,Houston Texans,DST,10,DST7,129.0,,,137.0,,,138.3,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
163,163,163,164,John Ross,,,WR60,141.0,,,191.0,,246.0,180.2,00-0033460,WR,2017,0.75,21,2017,0.1033333333333333,0.21333334,0.026000000000000002,9.0,20.6,3,0,0.0,0,1,12.0,0,0,0.0,0,1.0,0,0.0,0,4,9.0,0,21,210.0,7,0.0
164,164,164,165,Devontae Booker,,,RB56,,,,128.0,,121.0,141.0,00-0032972,RB,2017,1.0,25,2016,0.3161538461538462,19.35564,0.004,136.0,3.3,13,0,0.0,0,79,299.0,1,30,275.0,0,1.0,0,0.0,0,34,183.0,1,38,275.0,0,1.0
165,165,165,166,Jake Elliott,PHI,9,K8,189.0,,,178.0,,164.0,185.4,00-0033787,K,2017,1.0,22,2017,0.3573333333333333,--,0.004,153.0,2.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
166,166,166,167,O.J. Howard,,,TE15,,,,160.0,,142.0,147.8,00-0033879,TE,2017,0.875,22,2017,0.64,64.729744,0.017,19.0,15.8,13,0,0.0,0,0,0.0,0,26,432.0,6,2.0,0,0.0,0,0,0.0,0,34,565.0,5,0.0
167,167,167,168,Danny Amendola,,,WR61,149.0,,,225.0,,193.0,187.6,00-0026035,WR,2017,0.9635036496350365,31,2008,0.5393333333333334,31.836859,0.034,,0.0,15,0,0.0,0,0,0.0,0,61,659.0,2,0.0,1,28.0,1,1,-2.0,0,59,575.0,1,0.0
168,168,168,169,Denver Broncos,DST,10,DST8,164.0,,,139.0,,,151.5,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
169,169,169,170,Courtland Sutton,DEN,10,WR62,180.0,,,216.0,,215.0,194.4,00-0034348,WR,2017,--,21,2018,-1.0,--,0.01,40.0,11.1,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,1,-1.0,0,42,704.0,4,0.0
170,170,170,171,Robbie Gould,,,K9,187.0,,,185.0,,199.0,194.4,00-0023252,K,2017,0.9020979020979021,34,2005,-1.0,--,0.012,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
171,171,171,172,Mohamed Sanu Sr.,,,WR63,130.0,,,204.0,,149.0,158.0,00-0029632,WR,2017,0.8645833333333334,28,2012,0.7873333333333333,31.937706,0.042,83.0,6.5,15,1,51.0,1,4,10.0,0,67,703.0,5,0.0,1,5.0,1,7,44.0,0,66,838.0,4,1.0
172,172,172,173,Austin Seferian-Jenkins,,,TE16,161.0,,,143.0,,156.0,161.3,00-0031418,TE,2017,0.7301587301587301,24,2014,0.7592307692307692,26.696924,0.027999999999999997,38.0,11.4,13,0,0.0,0,0,0.0,0,50,357.0,3,0.0,0,0.0,0,0,0.0,0,11,90.0,1,0.0
173,173,173,174,Dez Bryant ,,,WR64,173.0,,,189.0,,115.0,161.5,00-0027902,WR,2017,0.7751937984496124,28,2010,0.839375,25.776,0.006999999999999999,24.0,14.4,16,0,0.0,0,1,-4.0,0,69,838.0,6,1.0,--,--,--,--,--,--,--,--,--,--
174,174,174,175,Rishard Matthews,,,WR65,175.0,,,186.0,,125.0,163.3,00-0029580,WR,2017,0.8383838383838383,27,2012,0.8228571428571427,44.196484,0.044000000000000004,227.0,0.0,14,0,0.0,0,1,-3.0,0,53,795.0,4,0.0,0,0.0,0,0,0.0,0,5,24.0,0,0.0
175,175,175,176,New Orleans Saints,DST,6,DST9,174.0,,,157.0,,,164.3,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
176,176,176,177,Jameis Winston,NYG,9,QB22,,,,171.0,,159.0,164.5,00-0031503,QB,2017,1.0,23,2015,0.893846153846154,70.2675,0.044000000000000004,1.0,34.6,13,282,3504.0,19,33,135.0,1,0,0.0,0,18.0,244,2992.0,19,49,281.0,1,0,0.0,0,17.0
177,177,177,178,Matt Prater,,,K10,190.0,,,201.0,,210.0,202.2,00-0023853,K,2017,0.8958333333333334,33,2007,-1.0,--,0.023,,0.0,--,--,--,--,--,--,--,--,--,--,--,1,8.0,1,0,0.0,0,0,0.0,0,0.0
178,178,178,179,DeSean Jackson,,,WR66,184.0,,,192.0,,136.0,168.3,00-0026189,WR,2017,0.9178082191780822,30,2008,0.6464285714285715,23.933846,0.067,49.0,9.8,14,0,0.0,0,3,38.0,0,50,668.0,3,0.0,0,0.0,0,6,29.0,1,41,774.0,4,0.0
179,179,179,180,Dede Westbrook,,,WR67,,,,148.0,,184.0,168.5,00-0033839,WR,2017,0.4375,23,2017,0.7800000000000001,35.086193,0.005,110.0,4.7,7,0,0.0,0,0,0.0,0,27,339.0,1,0.0,0,0.0,0,9,98.0,0,66,717.0,5,1.0
180,180,180,181,Chicago Bears,DST,5,DST10,152.0,,,188.0,,,169.8,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
181,181,181,182,Jared Cook,,,TE17,148.0,,,197.0,,165.0,171.0,00-0027061,TE,2017,0.9054054054054054,30,2009,0.785,38.441334,0.032,89.0,6.0,16,0,0.0,0,0,0.0,0,54,688.0,2,1.0,0,0.0,0,0,0.0,0,68,896.0,6,0.0
182,182,182,183,Paul Richardson Jr. ,,,WR68,142.0,,,172.0,,154.0,171.3,00-0031257,WR,2017,0.5961538461538461,25,2014,0.773125,44.139294,0.045,45.0,10.4,16,0,0.0,0,0,0.0,0,44,703.0,6,0.0,0,0.0,0,2,9.0,0,20,262.0,2,0.0
183,183,183,184,New England Patriots,DST,11,DST11,134.0,,,175.0,,,171.8,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
184,184,184,185,Pittsburgh Steelers,DST,7,DST12,145.0,,,179.0,,,175.3,--,D/ST,2017,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
185,185,185,186,Mason Crosby,,,K11,179.0,,,226.0,,212.0,209.2,00-0025580,K,2017,1.0,32,2007,0.288125,--,0.026000000000000002,193.0,1.1,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,0,0.0,0,0.0
186,186,186,187,Eric Ebron,,,TE18,,,,195.0,,168.0,175.5,00-0031387,TE,2017,1.0,24,2014,0.5262500000000001,33.558,0.037000000000000005,10.0,19.9,16,0,0.0,0,0,0.0,0,53,574.0,4,1.0,0,0.0,0,3,-8.0,1,66,750.0,13,1.0
