Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
48,48,48,49,Jaylen Waddle,MIA,11,WR19,49.0,49.0,,49.0,00-0036613,WR,2021,0.9411764705882353,22,2021,0.834375,57.809166,0.037000000000000005,6.0,23.2,16,0,0.0,0,2,3.0,1,104,1015.0,6,0.0,0,0.0,0,3,26.0,0,75,1356.0,8,1.0
49,49,49,50,Josh Jacobs,GB,14,RB22,54.0,45.0,,49.5,00-0035700,RB,2021,0.8775510204081632,23,2019,0.6326666666666666,20.823809,0.016,24.0,14.4,15,0,0.0,0,217,872.0,9,54,348.0,0,2.0,0,0.0,0,340,1653.0,12,53,400.0,0,1.0
50,50,50,51,Allen Robinson II ,,,WR20,48.0,53.0,,50.5,00-0031428,WR,2021,0.752,28,2014,0.8058333333333333,6.948182,0.07400000000000001,61.0,8.4,12,0,0.0,0,0,0.0,0,38,410.0,1,0.0,0,0.0,0,0,0.0,0,33,339.0,3,0.0
51,51,51,52,DK Metcalf,PIT,9,WR21,55.0,50.0,,52.5,00-0035640,WR,2021,1.0,23,2019,0.8352941176470589,59.0797,0.115,64.0,8.1,17,0,0.0,0,1,6.0,0,75,967.0,12,0.0,0,0.0,0,0,0.0,0,90,1048.0,6,2.0
52,52,52,53,A.J. Dillon,PHI,7,RB23,52.0,56.0,,54.0,00-0036265,RB,2021,0.8484848484848485,23,2020,0.4223529411764706,54.76779,0.006999999999999999,62.0,8.3,17,0,0.0,0,187,803.0,5,34,313.0,2,1.0,0,0.0,0,186,770.0,7,28,206.0,0,0.0
53,53,53,54,J.K. Dobbins,DEN,9,RB24,58.0,52.0,,55.0,00-0036158,RB,2021,0.45454545454545453,22,2020,-1.0,--,0.006999999999999999,55.0,9.1,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,92,520.0,2,7,42.0,1,0.0
54,54,54,55,Kyler Murray,ARI,13,QB5,56.0,55.0,,55.5,00-0035228,QB,2021,0.9387755102040817,24,2019,0.9757142857142858,56.06348,0.221,1.0,34.6,14,333,3787.0,24,88,423.0,5,0,0.0,0,10.0,259,2368.0,14,67,418.0,3,0,0.0,0,9.0
55,55,55,56,Joe Burrow,CIN,10,QB6,51.0,62.0,,56.5,00-0036442,QB,2021,0.7878787878787878,24,2020,0.965625,71.31392,0.046,1.0,34.6,16,366,4611.0,34,40,118.0,2,0,0.0,0,16.0,414,4475.0,35,75,257.0,5,0,0.0,0,15.0
56,56,56,57,Jerry Jeudy,CLE,9,WR22,62.0,51.0,,56.5,00-0036407,WR,2021,0.7941176470588235,22,2020,0.656,17.88889,0.019,15.0,17.4,10,0,0.0,0,2,3.0,0,38,467.0,0,0.0,0,0.0,0,4,40.0,0,67,972.0,6,0.0
57,57,57,58,Dalton Schultz,HOU,6,TE6,53.0,60.0,,56.5,00-0034383,TE,2021,1.0,25,2018,0.8105882352941176,51.220295,0.053,137.0,3.3,17,0,0.0,0,0,0.0,0,78,808.0,8,0.0,0,0.0,0,0,0.0,0,57,577.0,5,1.0
58,58,58,59,Jalen Hurts,PHI,7,QB7,57.0,63.0,,60.0,00-0036389,QB,2021,0.9090909090909091,23,2020,0.978,48.66799,0.008,53.0,9.3,15,265,3144.0,16,139,784.0,10,0,0.0,0,11.0,306,3701.0,22,165,760.0,13,0,0.0,0,8.0
59,59,59,60,Antonio Gibson,NE,10,RB25,69.0,57.0,,63.0,00-0036328,RB,2021,0.9090909090909091,23,2020,0.5675,46.680294,0.006,66.0,7.9,16,0,0.0,0,258,1037.0,7,42,294.0,3,4.0,0,0.0,0,149,546.0,3,46,353.0,2,0.0
60,60,60,61,Brandin Cooks,NO,14,WR23,68.0,59.0,,63.5,00-0031236,WR,2021,0.88,27,2014,0.8325,54.935837,0.095,20.0,15.5,16,0,0.0,0,2,21.0,0,90,1037.0,6,0.0,0,0.0,0,2,7.0,0,57,699.0,3,0.0
61,61,61,62,JuJu Smith-Schuster,KC,8,WR24,59.0,68.0,,63.5,00-0033857,WR,2021,0.7926829268292683,24,2017,0.72,37.903,0.018000000000000002,62.0,8.3,5,0,0.0,0,3,9.0,1,15,129.0,0,0.0,0,0.0,0,0,0.0,0,78,933.0,3,2.0
62,62,62,63,Amon-Ra St. Brown,DET,6,WR25,64.0,66.0,,65.0,00-0036963,WR,2021,1.0,21,2021,0.748235294117647,100.143295,0.006,112.0,4.6,16,0,0.0,0,7,61.0,1,90,912.0,5,0.0,0,0.0,0,9,95.0,0,106,1161.0,6,0.0
63,63,63,64,Clyde Edwards-Helaire,NO,14,RB26,72.0,61.0,,66.5,00-0036360,RB,2021,0.7272727272727273,22,2020,0.5109999999999999,35.756,0.013999999999999999,32.0,12.5,10,0,0.0,0,119,517.0,4,19,129.0,2,2.0,0,0.0,0,71,302.0,3,17,151.0,3,0.0
64,64,64,65,Gabe Davis,,,WR26,63.0,70.0,,66.5,00-0036196,WR,2021,0.9696969696969697,22,2020,0.495625,45.912094,0.005,128.0,3.7,15,0,0.0,0,0,0.0,0,35,549.0,6,0.0,0,0.0,0,0,0.0,0,48,836.0,7,1.0
65,65,65,66,Marquise Brown,KC,8,WR27,78.0,58.0,,68.0,00-0035662,WR,2021,0.9387755102040817,24,2019,0.7949999999999999,60.974625,0.016,25.0,14.1,16,0,0.0,0,1,5.0,0,91,1008.0,6,1.0,0,0.0,0,1,1.0,0,67,709.0,3,0.0
66,66,66,67,T.J. Hockenson,MIN,7,TE7,65.0,71.0,,68.0,00-0035229,TE,2021,0.8163265306122449,24,2019,0.8391666666666667,57.442654,0.026000000000000002,8.0,21.4,12,0,0.0,0,0,0.0,0,61,583.0,4,0.0,0,0.0,0,0,0.0,0,86,914.0,6,1.0
67,67,67,68,Dallas Goedert,PHI,7,TE8,61.0,79.0,,70.0,00-0034351,TE,2021,0.8923076923076924,26,2018,0.7806666666666667,51.90857,0.078,49.0,9.8,15,0,0.0,0,0,0.0,0,56,830.0,4,0.0,0,0.0,0,0,0.0,0,55,702.0,3,1.0
68,68,68,69,Tom Brady,,,QB8,60.0,81.0,,70.5,00-0019596,QB,2021,1.0,44,2000,0.9629411764705884,76.69932,0.13699999999999998,199.0,0.9,17,485,5316.0,43,28,81.0,2,0,0.0,0,15.0,490,4694.0,25,29,-1.0,1,0,0.0,0,13.0
69,69,69,70,Michael Thomas ,,,WR28,74.0,67.0,,70.5,00-0032765,WR,2021,0.7319587628865979,28,2016,-1.0,--,0.102,47.0,10.1,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,0,0.0,0,16,171.0,3,0.0
70,70,70,71,Russell Wilson,NYG,9,QB9,70.0,73.0,,71.5,00-0029263,QB,2021,0.9818181818181818,32,2012,0.972857142857143,60.66032,0.235,75.0,7.1,14,259,3113.0,25,43,183.0,2,0,0.0,0,7.0,292,3524.0,16,55,277.0,3,1,1.0,0,13.0
71,71,71,72,Chase Edmonds,,,RB27,67.0,78.0,,72.5,00-0034681,RB,2021,0.8769230769230769,25,2018,0.5783333333333333,49.119015,0.028999999999999998,134.0,3.4,12,0,0.0,0,116,592.0,2,43,311.0,0,1.0,0,0.0,0,68,245.0,2,16,157.0,1,0.0
72,72,72,73,Damien Harris,,,RB28,71.0,74.0,,72.5,00-0035657,RB,2021,0.6,24,2019,0.4166666666666666,47.889233,0.005,87.0,6.2,15,0,0.0,0,202,929.0,15,18,132.0,0,2.0,0,0.0,0,106,462.0,3,17,97.0,0,0.0
73,73,73,74,Adam Thielen,CAR,13,WR29,77.0,69.0,,73.0,00-0030035,WR,2021,0.9236641221374046,31,2013,0.8399999999999999,87.01731,0.07200000000000001,,0.0,13,0,0.0,0,1,2.0,0,67,726.0,10,0.0,0,0.0,0,1,4.0,0,70,716.0,6,0.0
74,74,74,75,Amari Cooper,,,WR30,86.0,65.0,,75.5,00-0031544,WR,2021,0.9823008849557522,27,2015,0.7606666666666668,91.38144,0.10099999999999999,4.0,25.8,15,0,0.0,0,0,0.0,0,68,865.0,8,0.0,0,0.0,0,0,0.0,0,78,1160.0,9,1.0
75,75,75,76,Rashod Bateman,BAL,10,WR31,79.0,76.0,,77.5,00-0036550,WR,2021,0.7058823529411765,21,2021,0.6808333333333333,27.542046,0.017,27.0,13.6,12,0,0.0,0,0,0.0,0,46,515.0,1,0.0,0,0.0,0,0,0.0,0,15,285.0,2,1.0
76,76,76,77,Chris Godwin,TB,11,WR32,94.0,64.0,,79.0,00-0033921,WR,2021,0.8888888888888888,25,2017,0.8550000000000001,59.518246,0.096,84.0,6.4,14,0,0.0,0,4,21.0,1,98,1103.0,5,2.0,0,0.0,0,3,5.0,0,104,1023.0,3,2.0
77,77,77,78,Dameon Pierce,HU,6 O,RB29,75.0,83.0,,79.0,00-0037258,RB,2021,--,21,2022,-1.0,--,0.005,107.0,4.8,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,220,939.0,4,30,165.0,1,2.0
78,78,78,79,Dawson Knox,BUF,7,TE9,73.0,89.0,,81.0,00-0035689,TE,2021,0.8571428571428571,24,2019,0.8720000000000001,44.398384,0.062,96.0,5.5,15,0,0.0,0,0,0.0,0,49,587.0,9,0.0,0,0.0,0,0,0.0,0,48,517.0,6,0.0
79,79,79,80,Darnell Mooney,ATL,14,WR33,91.0,72.0,,81.5,00-0036309,WR,2021,1.0,23,2020,0.8788235294117647,48.788162,0.005,173.0,1.8,17,0,0.0,0,6,32.0,1,81,1055.0,4,0.0,0,0.0,0,1,2.0,0,40,493.0,2,0.0
80,80,80,81,Miles Sanders,DAL,9,RB30,88.0,77.0,,82.5,00-0035243,RB,2021,0.8163265306122449,24,2019,0.54,21.63697,0.006999999999999999,53.0,9.3,12,0,0.0,0,137,754.0,0,26,158.0,0,1.0,0,0.0,0,259,1269.0,11,20,78.0,0,2.0
81,81,81,82,Buffalo Bills,DST,7,DST1,66.0,102.0,,84.0,--,D/ST,2021,--,D/ST,D/ST,-1.0,--,--,,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
82,82,82,83,Devin Singletary,NYG,9,RB31,83.0,85.0,,84.0,00-0035250,RB,2021,0.9387755102040817,23,2019,0.5858823529411764,47.038673,0.005,74.0,7.2,17,0,0.0,0,188,870.0,7,40,228.0,1,0.0,0,0.0,0,177,819.0,5,38,280.0,1,3.0
