Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_games,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers
35,35,35,36,DJ Moore,CHI,14,WR14,35.0,41.0,,38.0,00-0034827,WR,2021,0.9692307692307692,24,2018,0.866470588235294,42.014706,0.099,24.0,14.4,17,0,0.0,0,8,48.0,0,93,1157.0,4,1.0,0,0.0,0,10,53.0,0,63,888.0,7,0.0
36,36,36,37,George Kittle,SF,9,TE4,42.0,35.0,,38.5,00-0033288,TE,2021,0.8395061728395061,27,2017,0.9185714285714288,123.910324,0.076,146.0,2.9,14,0,0.0,0,3,20.0,0,71,910.0,6,1.0,0,0.0,0,0,0.0,0,60,765.0,11,1.0
37,37,37,38,Travis Etienne Jr.,JAC,11,RB17,43.0,37.0,,40.0,00-0036973,RB,2021,0.0,22,2021,-1.0,--,0.018000000000000002,25.0,14.1,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,220,1125.0,5,35,316.0,0,4.0
38,38,38,39,Mike Williams,,,WR15,38.0,43.0,,40.5,00-0033536,WR,2021,0.9629629629629629,26,2017,0.789375,112.28517,0.096,7.0,22.2,16,0,0.0,0,0,0.0,0,76,1146.0,9,0.0,0,0.0,0,0,0.0,0,63,895.0,4,0.0
39,39,39,40,Breece Hall,NYJ,10,RB18,41.0,40.0,,40.5,00-0038120,RB,2021,--,20,2022,-1.0,--,0.011000000000000001,36.0,11.8,--,--,--,--,--,--,--,--,--,--,--,0,0.0,0,80,463.0,4,19,218.0,1,1.0
40,40,40,41,Terry McLaurin,WAS,14,WR16,40.0,42.0,,41.0,00-0035659,WR,2021,0.9387755102040817,25,2019,0.8988235294117648,72.66882,0.111,76.0,7.0,17,0,0.0,0,1,12.0,0,77,1053.0,5,0.0,0,0.0,0,7,29.0,0,77,1191.0,5,0.0
41,41,41,42,David Montgomery,DET,6,RB19,46.0,38.0,,42.0,00-0035685,RB,2021,0.8979591836734694,24,2019,0.7515384615384615,46.4,0.005,73.0,7.3,13,0,0.0,0,225,849.0,7,42,301.0,0,2.0,0,0.0,0,201,801.0,5,34,316.0,1,2.0
42,42,42,43,Cam Akers,NO,14,RB20,45.0,39.0,,42.0,00-0036414,RB,2021,0.42424242424242425,22,2020,0.2,,0.008,52.0,9.4,1,0,0.0,0,5,3.0,0,3,10.0,0,0.0,0,0.0,0,188,786.0,7,13,117.0,0,2.0
43,43,43,44,Lamar Jackson,BAL,10,QB4,39.0,46.0,,42.5,00-0034796,QB,2021,0.8923076923076924,24,2018,0.91,119.757416,0.013000000000000001,32.0,12.5,12,246,2882.0,16,133,767.0,2,0,0.0,0,16.0,203,2242.0,17,112,764.0,3,0,0.0,0,9.0
44,44,44,45,Courtland Sutton,DEN,9,WR17,44.0,44.0,,44.0,00-0034348,WR,2021,0.7575757575757576,25,2018,0.8511764705882353,62.67034,0.08199999999999999,40.0,11.1,17,1,16.0,0,0,0.0,0,58,776.0,2,0.0,0,0.0,0,1,5.0,0,64,829.0,2,0.0
45,45,45,46,Elijah Mitchell,KC,8,RB21,37.0,54.0,,45.5,00-0036567,RB,2021,0.6470588235294118,23,2021,0.6427272727272727,41.954,0.005,194.0,1.1,11,0,0.0,0,207,963.0,5,19,137.0,1,0.0,0,0.0,0,45,279.0,2,3,7.0,0,0.0
46,46,46,47,Darren Waller,MIA,11,TE5,47.0,48.0,,47.5,00-0031610,TE,2021,0.6666666666666666,28,2015,0.829090909090909,43.360546,0.08199999999999999,204.0,0.7,11,0,0.0,0,0,0.0,0,55,665.0,2,0.0,0,0.0,0,0,0.0,0,28,388.0,3,0.0
47,47,47,48,Diontae Johnson,CLE,9,WR18,50.0,47.0,,48.5,00-0035216,WR,2021,0.96,25,2019,0.9075,27.772,0.08800000000000001,66.0,7.9,16,0,0.0,0,5,53.0,0,107,1161.0,8,2.0,0,0.0,0,7,25.0,0,86,882.0,0,0.0
