;Unnamed: 0;Rank;Player;Team;Bye;POS;Yahoo;Sleeper;RTSports;AVG;gsis_id;position;season;availability;age
182;182;183;Russell Wilson;NYG;11;QB25;125.0;241;182.0;182.7;00-0029263;QB;2023;0.9748743718592965;34
183;183;184;Justin Fields;NYJ;12;QB26;135.0;204;209.0;182.7;00-0036945;QB;2023;0.7843137254901961;24
184;184;185;Tyler Bass;BUF;12;K10;160.0;157;235.0;184.0;00-0036162;K;2023;1.0;26
185;185;186;Miami Dolphins;DST;6;DST8;138.0;203;215.0;185.3;--;D/ST;2023;--;D/ST
186;186;187;Tyler Conklin;LAC;5;TE20;194.0;191;181.0;188.7;00-0034270;TE;2023;1.0;28
187;187;188;Buffalo Bills;DST;12;DST9;136.0;256;180.0;190.7;00-0030565 ;D/ST;2023;--;D/ST
188;188;189;Geno Smith;LV;10;QB27;208.0;198;166.0;190.7;00-0030565;QB;2023;0.945054945054945;32
189;189;190;Jonnu Smith;PIT;9;TE21;139.0;234;211.0;194.7;00-0033858;TE;2023;0.9310344827586207;28
190;190;191;Hunter Henry;NE;14;TE22;215.0;183;193.0;197.0;00-0033090;TE;2023;0.8091603053435115;28
191;191;192;Cameron Dicker;LAC;5;K11;216.0;156;223.0;198.3;00-0037224;K;2023;1.0;23
192;192;193;Chig Okonkwo;TEN;5;TE23;210.0;207;195.0;204.0;00-0037809;TE;2023;1.0;23
193;193;194;Cade Otton;TB;11;TE24;217.0;179;220.0;205.3;00-0038129;TE;2023;1.0;24
194;194;195;Ben Sinnott;WAS;14;TE25;203.0;170;246.0;206.3;00-0039912;TE;2023;--;21
195;195;196;Jason Myers;SEA;10;K12;207.0;212;214.0;211.0;00-0031492;K;2023;1.0;32
196;196;197;Philadelphia Eagles;DST;5;DST10;199.0;205;231.0;211.7;--;D/ST;2023;--;D/ST
197;197;198;Zach Ertz;WAS;14;TE26;129.0;262;254.0;215.0;00-0030061;TE;2023;0.8983050847457628;32
198;198;199;Braelon Allen;NYJ;12;RB57;;180;160.0;170.0;00-0039794;RB;2023;--;19
199;199;200;Darnell Mooney;ATL;12;WR68;;175;168.0;171.5;00-0036309;WR;2023;0.8955223880597015;25
200;200;201;Daniel Carlson;LV;10;K13;184.0;214;253.0;217.0;00-0034161;K;2023;1.0;28
201;201;202;Michael Wilson;ARI;11;WR69;;190;159.0;174.5;00-0038559;WR;2023;0.7647058823529411;23
202;202;203;Noah Fant;CIN;12;TE27;214.0;218;232.0;221.3;00-0035644;TE;2023;0.9761904761904762;25
203;203;204;Tyrone Tracy Jr.;NYG;11;RB58;;184;174.0;179.0;00-0039384;RB;2023;--;23
204;204;205;Houston Texans;DST;14;DST11;211.0;258;198.0;222.3;--;D/ST;2023;--;D/ST
205;205;206;Las Vegas Raiders;DST;10;DST12;167.0;261;241.0;223.0;--;D/ST;2023;--;D/ST
206;206;207;Tampa Bay Buccaneers;DST;11;DST13;193.0;210;272.0;225.0;--;D/ST;2023;--;D/ST
207;207;208;New Orleans Saints;DST;12;DST14;224.0;250;203.0;225.7;--;D/ST;2023;--;D/ST
208;208;209;Dawson Knox;BUF;12;TE28;137.0;271;281.0;229.7;00-0035689;TE;2023;0.8433734939759037;26
209;209;210;Quentin Johnston;LAC;5;WR70;;182;202.0;192.0;00-0038544;WR;2023;1.0;21
210;210;211;Seattle Seahawks;DST;10;DST15;209.0;213;271.0;231.0;--;D/ST;2023;--;D/ST
211;211;212;DeMario Douglas;NE;14;WR71;;185;208.0;196.5;00-0038621;WR;2023;0.8235294117647058;22
212;212;213;Bryce Young;CAR;11;QB28;;223;173.0;198.0;00-0039150;QB;2023;0.9411764705882353;22
213;213;214;Detroit Lions;DST;5;DST16;198.0;247;259.0;234.7;--;D/ST;2023;--;D/ST
214;214;215;Derek Carr;;;QB29;;239;167.0;203.0;00-0031280;QB;2023;0.9878787878787879;32
215;215;216;Tank Bigsby;JAC;12;RB59;;217;191.0;204.0;00-0038555;RB;2023;1.0;21
216;216;217;Daniel Jones;IND;14;QB30;;235;177.0;206.0;00-0035710;QB;2023;0.7469879518072289;26
217;217;218;New York Giants;DST;11;DST17;168.0;265;286.0;239.7;--;D/ST;2023;--;D/ST
218;218;219;New England Patriots;DST;14;DST18;165.0;252;;208.5;--;D/ST;2023;--;D/ST
219;219;220;Drake Maye;NE;14;QB31;;221;200.0;210.5;00-0039851;QB;2023;--;21
220;220;221;Troy Franklin;DEN;14;WR72;;174;249.0;211.5;00-0039868;WR;2023;--;20
221;221;222;Alexander Mattison;MIA;6;RB60;;224;199.0;211.5;00-0034972;RB;2023;0.9036144578313253;25
222;222;223;Jermaine Burton;CIN;12;WR73;;196;229.0;212.5;00-0039810;WR;2023;--;22
223;223;224;Sam Darnold;SEA;10;QB32;;246;183.0;214.5;00-0034869;QB;2023;0.797979797979798;26
224;224;225;Audric Estime;DEN;14;RB61;;209;221.0;215.0;00-0039373 ;D/ST;2023;--;D/ST
225;225;226;Matt Gay;WAS;14;K14;219.0;;216.0;217.5;00-0035269;K;2023;1.0;29
226;226;227;Chicago Bears;DST;7;DST19;221.0;292;230.0;247.7;--;D/ST;2023;--;D/ST
227;227;228;Luke McCaffrey;WAS;14;WR74;;199;239.0;219.0;00-0039355;WR;2023;--;22
228;228;229;Dameon Pierce;HOU;14;RB62;;192;247.0;219.5;00-0037258;RB;2023;0.7941176470588235;23
229;229;230;Cincinnati Bengals;DST;12;DST20;223.0;;219.0;221.0;--;D/ST;2023;--;D/ST
230;230;231;Will Reichard;MIN;6;K15;186.0;;257.0;221.5;00-0039404;K;2023;--;22
231;231;232;Roschon Johnson;CHI;7;RB63;;231;212.0;221.5;00-0039021;RB;2023;0.8823529411764706;22
232;232;233;Wan'Dale Robinson;NYG;11;WR75;;226;217.0;221.5;00-0038117;WR;2023;0.6176470588235294;22
