Rank,Player,Team,AVG,gsis_id,position,season,availability,age,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,prev_year_completions,prev_year_passing_yards,prev_year_passing_tds,prev_year_carries,prev_year_rushing_yards,prev_year_rushing_tds,prev_year_receptions,prev_year_receiving_yards,prev_year_receiving_tds,prev_year_turnovers,obj_completions,obj_passing_yards,obj_passing_tds,obj_carries,obj_rushing_yards,obj_rushing_tds,obj_receptions,obj_receiving_yards,obj_receiving_tds,obj_turnovers,yac_pr,player_id_x,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation,player_id_y,redzone_touches,redzone_yards,redzone_tds,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos,targets_totales,targets_por_partido,targets_por_partido_equipo,posicion,equipo,target_share_pct
114,Vincent Jackson,,118.5,00-0023496,WR,2015,0.8504672897196262,32,0.773,73.22678,0.092,61.0,8.4,0,0.0,0,0,0.0,0,33,543.0,3,0.0,0,0.0,0,0,0.0,0,15,173.0,0,0.0,3.121212121212121,00-0023496,10,543.0,54.3,3.8451152,14.482016,00-0023496,14,106.0,3.0,63,33,543,54.3,13,3,0,0,0.0,0,0,3,10,63,6.3,33.0,WR,TB,11.9
118,Torrey Smith,,123.3,00-0027996,WR,2015,1,26,0.7731250000000001,50.646297,0.055999999999999994,58.0,8.7,0,0.0,0,0,0.0,0,33,663.0,4,0.0,0,0.0,0,0,0.0,0,20,267.0,3,0.0,6.606060606060606,00-0027996,16,663.0,41.4375,3.7643538,10.31906,00-0027996,8,26.0,1.0,63,33,663,41.4375,8,4,0,0,0.0,0,0,4,16,63,3.9,32.9,WR,SF,12.0
120,Markus Wheaton,,125.5,00-0030460,WR,2015,1,24,0.649375,76.982285,0.006,79.0,6.8,0,0.0,0,0,0.0,0,44,749.0,5,0.0,0,0.0,0,0,0.0,0,4,51.0,1,0.0,3.590909090909091,00-0030460,18,802.0,44.555557,4.79182,8.951732,00-0030460,17,88.0,3.0,80,44,749,46.8125,9,5,0,0,0.0,0,0,5,16,80,5.0,37.2,WR,PIT,13.4
131,Mohamed Sanu Sr.,,138.0,00-0029632,WR,2015,0.796875,26,0.6043749999999999,20.010958,0.042,83.0,6.5,0,0.0,0,10,71.0,2,33,394.0,0,0.0,0,0.0,0,1,5.0,0,59,653.0,4,1.0,6.151515151515151,00-0029632,17,411.0,24.17647,4.123175,5.594265,00-0029632,9,88.0,0.0,49,33,394,24.625,8,0,10,71,4.4375,2,0,2,16,49,3.1,30.9,WR,CIN,9.9
137,Phillip Dorsett II,LV,146.5,00-0032208,WR,2015,1,22,0.279090909090909,12.5676365,0.013999999999999999,29.0,13.2,0,0.0,0,3,17.0,0,18,225.0,1,0.0,0,0.0,0,2,10.0,0,33,528.0,2,0.0,3.3333333333333335,00-0032208,11,225.0,20.454546,3.912368,5.326966,00-0032208,1,0.0,0.0,39,18,225,20.454545454545453,4,1,3,17,1.5454545454545454,0,1,1,11,39,3.5,37.9,WR,IND,6.4
146,Rishard Matthews,,154.0,00-0029580,WR,2015,0.7611940298507462,25,0.7436363636363634,69.58672,0.032,227.0,0.0,0,0.0,0,1,4.0,0,43,662.0,4,0.0,0,0.0,0,0,0.0,0,65,945.0,9,1.0,5.488372093023256,00-0029580,11,662.0,60.18182,4.5546384,13.435773,00-0029580,1,6.0,1.0,61,43,662,60.18181818181818,10,4,1,4,0.3636363636363636,0,0,4,11,61,5.5,36.4,WR,MIA,10.5
151,Steve Smith,,157.0,00-0020337,WR,2015,0.7798165137614679,36,0.6942857142857142,196.20142,0.026000000000000002,74.0,7.2,0,0.0,0,0,0.0,0,46,670.0,3,0.0,0,0.0,0,0,0.0,0,70,799.0,5,0.0,5.565217391304348,00-0020337,7,670.0,95.71429,4.1782303,20.329737,00-0020337,9,46.0,1.0,73,46,670,95.71428571428572,13,3,0,0,0.0,0,0,3,7,73,10.4,41.9,WR,BAL,10.9
152,Chris Hogan,,159.5,00-0028237,WR,2015,1,27,0.558125,25.27379,0.026000000000000002,,0.0,1,4.0,0,1,4.0,0,36,450.0,2,0.0,0,0.0,0,3,9.0,0,38,680.0,4,1.0,2.9722222222222223,00-0028237,13,450.0,34.615383,3.6225786,9.786445,00-0028237,7,40.0,1.0,59,36,450,34.61538461538461,6,2,1,4,0.3076923076923077,0,0,2,13,59,4.5,28.9,WR,BUF,12.7
160,Dorial Green-Beckham,,167.3,00-0032218,WR,2015,1,22,0.575,44.225548,0.01,40.0,11.1,0,0.0,0,0,0.0,0,32,549.0,4,0.0,0,0.0,0,0,0.0,0,36,392.0,2,0.0,4.5,00-0032218,14,549.0,39.214287,4.0245214,9.215037,00-0032218,10,60.0,3.0,68,32,549,39.21428571428572,10,4,0,0,0.0,0,0,4,14,68,4.9,34.2,WR,TEN,12.4
162,Mike Wallace,,168.8,00-0026901,WR,2015,0.86440678,29,0.7337500000000001,33.759235,0.037000000000000005,84.0,6.4,0,0.0,0,1,6.0,0,39,473.0,2,0.0,0,0.0,0,5,31.0,0,72,1017.0,4,0.0,4.333333333333333,00-0026901,16,483.0,30.1875,3.3296206,9.457947,00-0026901,8,42.0,2.0,72,39,473,31.53333333333333,6,2,1,6,0.4,0,0,2,15,72,4.8,27.7,WR,MIN,16.3
