opponent_team,season,game_id,rn,passing_yards_season_avg,passing_tds_season_avg,interceptions_season_avg,rushing_yards_season_avg,rushing_tds_season_avg,receiving_yards_season_avg,receiving_tds_season_avg,fumbles_lost_season_avg
MIA,2014,2014_07_MIA_CHI,6,235.2,2.0,0.6,110.0,0.6,235.2,2.0,0.8
MIA,2014,2014_08_MIA_JAX,7,227.66666666666666,1.8333333333333333,0.6666666666666666,100.33333333333333,0.6666666666666666,227.66666666666666,1.8333333333333333,1.0
MIA,2014,2014_09_SD_MIA,8,226.71428571428572,1.7142857142857142,0.8571428571428571,111.14285714285714,0.5714285714285714,226.71428571428572,1.7142857142857142,1.0
MIA,2014,2014_10_MIA_DET,9,216.875,1.5,1.125,103.5,0.5,216.875,1.5,1.0
MIA,2014,2014_11_BUF_MIA,10,226.88888888888889,1.5555555555555556,1.1111111111111112,99.0,0.4444444444444444,226.88888888888889,1.5555555555555556,0.8888888888888888
MIA,2014,2014_12_MIA_DEN,11,223.5,1.4,1.0,94.5,0.4,223.5,1.4,0.8
MIA,2014,2014_13_MIA_NYJ,12,226.54545454545453,1.6363636363636365,0.9090909090909091,104.18181818181819,0.45454545454545453,226.54545454545453,1.6363636363636365,0.7272727272727273
MIA,2014,2014_14_BAL_MIA,13,213.08333333333334,1.5,0.9166666666666666,118.58333333333333,0.5,213.08333333333334,1.5,0.6666666666666666
MIA,2014,2014_15_MIA_NE,14,217.3846153846154,1.5384615384615385,0.9230769230769231,123.53846153846153,0.6153846153846154,217.3846153846154,1.5384615384615385,0.6153846153846154
MIA,2014,2014_16_MIN_MIA,15,222.35714285714286,1.5714285714285714,0.9285714285714286,122.42857142857143,0.7142857142857143,222.35714285714286,1.5714285714285714,0.5714285714285714
MIA,2014,2014_17_NYJ_MIA,16,224.8,1.6,0.9333333333333333,122.2,0.8,224.8,1.6,0.5333333333333333
MIA,2015,2015_01_MIA_WAS,17,,,,,,,,
MIA,2015,2015_02_MIA_JAX,18,196.0,1.0,2.0,161.0,0.0,196.0,1.0,0.0
MIA,2015,2015_03_BUF_MIA,19,234.5,1.5,1.0,142.0,0.0,234.5,1.5,0.0
MIA,2015,2015_04_NYJ_MIA,20,248.66666666666666,2.0,0.6666666666666666,145.0,0.3333333333333333,248.66666666666666,2.0,0.0
MIA,2015,2015_06_MIA_TEN,21,241.0,1.75,0.75,160.5,0.75,241.0,1.75,0.0
MIA,2015,2015_07_HOU_MIA,22,249.2,1.6,1.0,141.0,0.6,249.2,1.6,0.4
MIA,2015,2015_08_MIA_NE,23,253.16666666666666,1.8333333333333333,1.0,129.33333333333334,0.6666666666666666,253.16666666666666,1.8333333333333333,0.3333333333333333
MIA,2015,2015_09_MIA_BUF,24,267.85714285714283,2.142857142857143,0.8571428571428571,124.42857142857143,0.5714285714285714,267.85714285714283,2.142857142857143,0.2857142857142857
MIA,2015,2015_10_MIA_PHI,25,257.0,2.0,0.75,142.125,0.875,257.0,2.0,0.25
MIA,2015,2015_11_DAL_MIA,26,272.0,1.8888888888888888,0.7777777777777778,135.55555555555554,0.8888888888888888,272.0,1.8888888888888888,0.2222222222222222
MIA,2015,2015_12_MIA_NYJ,27,267.5,1.9,0.9,138.6,0.8,267.5,1.9,0.2
MIA,2015,2015_13_BAL_MIA,28,268.3636363636364,2.090909090909091,0.8181818181818182,138.45454545454547,0.8181818181818182,268.3636363636364,2.090909090909091,0.18181818181818182
MIA,2015,2015_14_NYG_MIA,29,271.6666666666667,2.0,0.9166666666666666,134.75,0.75,271.6666666666667,2.0,0.16666666666666666
MIA,2015,2015_15_MIA_SD,30,276.6923076923077,2.1538461538461537,0.8461538461538461,131.46153846153845,0.6923076923076923,276.6923076923077,2.1538461538461537,0.23076923076923078
MIA,2015,2015_16_IND_MIA,31,279.14285714285717,2.2142857142857144,0.9285714285714286,132.07142857142858,0.7142857142857143,279.14285714285717,2.2142857142857144,0.21428571428571427
MIA,2015,2015_17_NE_MIA,32,272.3333333333333,2.066666666666667,0.8666666666666667,129.93333333333334,0.8,272.3333333333333,2.066666666666667,0.2
MIA,2016,2016_01_MIA_SEA,33,,,,,,,,
MIA,2016,2016_02_MIA_NE,34,258.0,1.0,1.0,112.0,0.0,258.0,1.0,1.0
MIA,2016,2016_03_CLE_MIA,35,291.0,2.0,0.5,136.5,0.5,291.0,2.0,1.0
MIA,2016,2016_04_MIA_CIN,36,287.0,1.3333333333333333,0.3333333333333333,147.33333333333334,0.6666666666666666,287.0,1.3333333333333333,1.0
MIA,2016,2016_05_TEN_MIA,37,289.25,1.25,0.25,129.75,0.5,289.25,1.25,0.75
MIA,2016,2016_06_PIT_MIA,38,264.0,1.6,0.2,150.8,0.6,264.0,1.6,0.6
MIA,2016,2016_07_BUF_MIA,39,251.5,1.5,0.5,147.0,0.6666666666666666,251.5,1.5,0.5
MIA,2016,2016_09_NYJ_MIA,40,247.14285714285714,1.4285714285714286,0.42857142857142855,135.57142857142858,0.8571428571428571,247.14285714285714,1.4285714285714286,0.42857142857142855
