game_id,opponent_team,receiving_yards,receiving_tds,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,fumbles_lost,rn,passing_yards_last5,passing_tds_last5,interceptions_last5,rushing_yards_last5,rushing_tds_last5,receiving_yards_last5,receiving_tds_last5,fumbles_lost_last5
2023_01_ARI_WAS,ARI,202.0,1,202.0,1,1.0,92.0,1,2.0,147,212.0,1.0,0.8,137.4,1.6,212.0,1.0,0.4
2023_02_NYG_ARI,ARI,321.0,2,321.0,2,1.0,127.0,2,0.0,148,205.4,1.2,0.8,135.2,1.4,205.4,1.2,0.8
2023_03_DAL_ARI,ARI,249.0,1,249.0,1,1.0,185.0,0,0.0,149,230.2,1.4,0.8,127.0,1.4,230.2,1.4,0.6
2023_04_ARI_SF,ARI,283.0,1,283.0,1,0.0,124.0,4,0.0,150,223.8,1.4,0.6,141.0,1.4,223.8,1.4,0.6
2023_05_CIN_ARI,ARI,317.0,3,317.0,3,1.0,93.0,0,0.0,151,246.6,1.6,0.6,139.4,1.8,246.6,1.6,0.4
2023_06_ARI_LA,ARI,226.0,1,226.0,1,0.0,179.0,1,0.0,152,274.4,1.6,0.8,124.2,1.4,274.4,1.6,0.4
2023_07_ARI_SEA,ARI,219.0,2,219.0,2,1.0,115.0,0,1.0,153,279.2,1.6,0.6,141.6,1.4,279.2,1.6,0.0
2023_08_BAL_ARI,ARI,157.0,1,157.0,1,0.0,130.0,3,0.0,154,258.8,1.6,0.6,139.2,1.0,258.8,1.6,0.2
2023_09_ARI_CLE,ARI,219.0,2,219.0,2,0.0,113.0,1,0.0,155,240.4,1.6,0.4,128.2,1.6,240.4,1.6,0.2
2023_10_ATL_ARI,ARI,94.0,1,94.0,1,0.0,184.0,2,0.0,156,227.6,1.8,0.4,126.0,1.0,227.6,1.8,0.2
2023_11_ARI_HOU,ARI,338.0,2,338.0,2,3.0,111.0,1,0.0,157,183.0,1.4,0.2,144.2,1.4,183.0,1.4,0.2
2023_12_LA_ARI,ARI,229.0,4,229.0,4,1.0,228.0,1,0.0,158,205.4,1.6,0.8,130.6,1.4,205.4,1.6,0.2
2023_13_ARI_PIT,ARI,187.0,1,187.0,1,0.0,130.0,0,1.0,159,207.4,2.0,0.8,153.2,1.6,207.4,2.0,0.0
2023_15_SF_ARI,ARI,262.0,4,262.0,4,0.0,144.0,1,0.0,160,213.4,2.0,0.8,153.2,1.0,213.4,2.0,0.2
2023_16_ARI_CHI,ARI,170.0,1,170.0,1,1.0,250.0,2,0.0,161,222.0,2.4,0.8,159.4,1.0,222.0,2.4,0.2
2023_17_ARI_PHI,ARI,184.0,3,184.0,3,1.0,91.0,0,0.0,162,237.2,2.4,1.0,172.6,1.0,237.2,2.4,0.2
2023_18_SEA_ARI,ARI,189.0,2,189.0,2,0.0,138.0,0,0.0,163,206.4,2.6,0.6,168.6,0.8,206.4,2.6,0.2
2024_01_ARI_BUF,ARI,232.0,2,232.0,2,0.0,130.0,2,1.0,164,198.4,2.2,0.4,150.6,0.6,198.4,2.2,0.2
2024_02_LA_ARI,ARI,216.0,0,216.0,0,0.0,53.0,1,1.0,165,207.4,2.4,0.4,150.6,1.0,207.4,2.4,0.2
2024_03_DET_ARI,ARI,179.0,1,199.0,2,1.0,187.0,1,0.0,166,198.2,1.6,0.4,132.4,1.0,198.2,1.6,0.4
2024_04_WAS_ARI,ARI,233.0,1,233.0,1,1.0,216.0,4,0.0,167,204.0,1.8,0.4,119.8,0.8,200.0,1.6,0.4
2024_05_ARI_SF,ARI,244.0,1,244.0,1,2.0,153.0,0,1.0,168,213.8,1.4,0.4,144.8,1.6,209.8,1.2,0.4
2024_06_ARI_GB,ARI,258.0,4,258.0,4,1.0,179.0,0,0.0,169,224.8,1.2,0.8,147.8,1.6,220.8,1.0,0.6
2024_07_LAC_ARI,ARI,349.0,0,349.0,0,0.0,59.0,0,1.0,170,230.0,1.6,1.0,157.6,1.2,226.0,1.4,0.4
2024_08_ARI_MIA,ARI,234.0,1,234.0,1,0.0,150.0,2,0.0,171,256.6,1.6,1.0,158.8,1.0,252.6,1.4,0.4
2024_09_CHI_ARI,ARI,217.0,0,217.0,0,0.0,69.0,0,0.0,172,263.6,1.4,0.8,151.4,1.2,263.6,1.4,0.4
2024_10_NYJ_ARI,ARI,151.0,0,151.0,0,0.0,79.0,0,1.0,173,260.4,1.2,0.6,122.0,0.4,260.4,1.2,0.4
2024_12_ARI_SEA,ARI,254.0,1,254.0,1,1.0,65.0,0,0.0,174,241.8,1.0,0.2,107.2,0.4,241.8,1.0,0.4
2024_13_ARI_MIN,ARI,235.0,2,235.0,2,0.0,68.0,0,1.0,175,241.0,0.4,0.2,84.4,0.4,241.0,0.4,0.4
