ball_team,season,game_id,rn,completions_season_avg,completions_season_avg,attempts_season_avg,attempts_season_avg,passing_yards_season_avg,passing_tds_season_avg,carries_season_avg,carries_season_avg,rushing_yards_season_avg,rushing_tds_season_avg,receptions_season_avg,receptions_season_avg,targets_season_avg,receiving_yards_season_avg,receiving_tds_season_avg
ARI,2018,2018_16_LA_ARI,79,17.642857142857142,17.642857142857142,30.714285714285715,30.714285714285715,182.35714285714286,0.9285714285714286,22.357142857142858,22.357142857142858,82.35714285714286,0.6428571428571429,17.642857142857142,17.642857142857142,29.214285714285715,182.35714285714286,0.9285714285714286
ARI,2018,2018_17_ARI_SEA,80,17.666666666666668,17.666666666666668,30.733333333333334,30.733333333333334,182.33333333333334,0.9333333333333333,22.066666666666666,22.066666666666666,83.8,0.6,17.666666666666668,17.666666666666668,29.333333333333332,182.33333333333334,0.9333333333333333
ARI,2019,2019_01_DET_ARI,81,,,,,,,,,,,,,,,
ARI,2019,2019_02_ARI_BAL,82,29.0,29.0,54.0,54.0,308.0,2.0,23.0,23.0,112.0,0.0,29.0,29.0,52.0,308.0,2.0
ARI,2019,2019_03_CAR_ARI,83,27.0,27.0,47.0,47.0,328.5,1.0,17.0,17.0,66.0,0.5,27.0,27.0,44.5,328.5,1.0
ARI,2019,2019_04_SEA_ARI,84,28.0,28.0,45.666666666666664,45.666666666666664,276.6666666666667,1.3333333333333333,18.666666666666668,18.666666666666668,84.33333333333333,0.3333333333333333,28.0,28.0,43.666666666666664,276.6666666666667,1.3333333333333333
ARI,2019,2019_05_ARI_CIN,85,26.5,26.5,42.25,42.25,267.75,1.0,19.75,19.75,92.0,0.5,26.5,26.5,40.25,267.75,1.0
ARI,2019,2019_06_ATL_ARI,86,25.2,25.2,40.2,40.2,264.8,0.8,23.4,23.4,126.8,0.8,25.2,25.2,38.4,264.8,0.8
ARI,2019,2019_07_ARI_NYG,87,25.5,25.5,39.666666666666664,39.666666666666664,277.3333333333333,1.1666666666666667,24.333333333333332,24.333333333333332,122.66666666666667,0.8333333333333334,25.5,25.5,37.833333333333336,277.3333333333333,1.1666666666666667
ARI,2019,2019_08_ARI_NO,88,23.857142857142858,23.857142857142858,37.0,37.0,252.57142857142858,1.0,26.285714285714285,26.285714285714285,127.42857142857143,1.1428571428571428,23.857142857142858,23.857142857142858,35.42857142857143,252.57142857142858,1.0
ARI,2019,2019_09_SF_ARI,89,23.25,23.25,36.625,36.625,248.5,0.875,24.375,24.375,116.5,1.0,23.25,23.25,35.0,248.5,0.875
ARI,2019,2019_10_ARI_TB,90,22.555555555555557,22.555555555555557,35.22222222222222,35.22222222222222,247.66666666666666,1.0,24.22222222222222,24.22222222222222,120.55555555555556,1.0,22.555555555555557,22.555555555555557,33.666666666666664,247.66666666666666,1.0
ARI,2019,2019_11_ARI_SF,91,23.1,23.1,36.2,36.2,257.9,1.2,23.6,23.6,116.0,0.9,23.1,23.1,34.6,257.9,1.2
ARI,2019,2019_13_LA_ARI,92,23.181818181818183,23.181818181818183,35.90909090909091,35.90909090909091,248.0909090909091,1.2727272727272727,23.727272727272727,23.727272727272727,117.72727272727273,0.9090909090909091,23.181818181818183,23.181818181818183,34.45454545454545,248.0909090909091,1.2727272727272727
ARI,2019,2019_14_PIT_ARI,93,22.833333333333332,22.833333333333332,35.75,35.75,241.0,1.1666666666666667,23.5,23.5,114.08333333333333,0.9166666666666666,22.833333333333332,22.833333333333332,34.333333333333336,241.0,1.1666666666666667
ARI,2019,2019_15_CLE_ARI,94,22.615384615384617,22.615384615384617,35.30769230769231,35.30769230769231,237.3846153846154,1.2307692307692308,23.384615384615383,23.384615384615383,110.76923076923077,0.8461538461538461,22.615384615384617,22.615384615384617,33.84615384615385,237.3846153846154,1.2307692307692308
ARI,2019,2019_16_ARI_SEA,95,22.142857142857142,22.142857142857142,34.357142857142854,34.357142857142854,238.21428571428572,1.2142857142857142,23.928571428571427,23.928571428571427,116.42857142857143,1.0714285714285714,22.142857142857142,22.142857142857142,32.857142857142854,238.21428571428572,1.2142857142857142
ARI,2019,2019_17_ARI_LA,96,21.666666666666668,21.666666666666668,33.86666666666667,33.86666666666667,233.46666666666667,1.2,25.0,25.0,125.53333333333333,1.1333333333333333,21.666666666666668,21.666666666666668,32.46666666666667,233.46666666666667,1.2
ARI,2020,2020_01_ARI_SF,97,,,,,,,,,,,,,,,
ARI,2020,2020_02_WAS_ARI,98,26.0,26.0,40.0,40.0,230.0,1.0,36.0,36.0,180.0,2.0,26.0,26.0,37.0,230.0,1.0
ARI,2020,2020_03_DET_ARI,99,26.0,26.0,39.0,39.0,258.0,1.0,34.0,34.0,170.0,2.0,26.0,26.0,35.5,258.0,1.0
ARI,2020,2020_04_ARI_CAR,100,25.0,25.0,37.666666666666664,37.666666666666664,262.0,1.3333333333333333,31.666666666666668,31.666666666666668,149.66666666666666,1.6666666666666667,25.0,25.0,34.666666666666664,262.0,1.3333333333333333
ARI,2020,2020_05_ARI_NYJ,101,24.75,24.75,36.0,36.0,229.75,1.75,29.5,29.5,144.5,1.25,24.75,24.75,33.75,229.75,1.75
ARI,2020,2020_06_ARI_DAL,102,25.2,25.2,36.2,36.2,259.8,1.6,29.6,29.6,141.0,1.6,25.2,25.2,34.0,259.8,1.6
ARI,2020,2020_07_SEA_ARI,103,22.5,22.5,34.166666666666664,34.166666666666664,247.83333333333334,1.6666666666666667,30.5,30.5,161.0,1.8333333333333333,22.5,22.5,32.0,247.83333333333334,1.6666666666666667
ARI,2020,2020_09_MIA_ARI,104,24.142857142857142,24.142857142857142,36.142857142857146,36.142857142857146,263.85714285714283,1.8571428571428572,30.857142857142858,30.857142857142858,160.71428571428572,1.7142857142857142,24.142857142857142,24.142857142857142,33.714285714285715,263.85714285714283,1.8571428571428572
ARI,2020,2020_10_BUF_ARI,105,23.75,23.75,34.875,34.875,266.25,2.0,31.625,31.625,162.875,1.625,23.75,23.75,32.75,266.25,2.0
